Year,Month,Site,Cage,Fundulus heteroclitus,Gasterosteus aculeatus,Tadpole,Juvenile Fish,Dead,Chironomidae,Coleoptera,Corixidae,Daphnia,Gammarus,Hydrobia,Trichoptera,Zygoptera,Green algae,S. alterniflora,Ruppia,Typha,Time,Temperature (֯C),Salinity (ppt),DO (mg/L),pH,Conductivity (µS/cm),Water Depth (cm),Notes,Retrieval Date
2019,June,MC Downstream,1,19,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,15:45,24.7,15.2,6.58,7.67,25123,39.5,GPS Mtrap1,June 21 2019
2019,June,MC Downstream,2,33,0,0,0,0,0,0,0,0,6,0,0,0,0,21,0,0,15:52,23.8,16.85,7.11,7.88,27007,42.5,GPS Mtrap2,
2019,June,MC Downstream,3,.,.,.,.,.,0,,.,,.,.,,,0,0,0,0,16:03,23.9,17.73,7.16,8,28017,53.4,(GPS Mtrap3?),
2019,June,MC Upstream,1,34,0,3,0,0,0,0,1,0,5,0,0,0,0,0,37,0,15:00,25.3,0.12,8.35,8.11,267,.,GPS Mtrap6,June 21 2019
2019,June,MC Upstream,2,0,1,0,1,1,0,0,0,0,46,0,0,0,0,0,36,0,15:20,23.8,10.2,8.53,7.23,10000,44,(GPS Mtrap5?) Cond very unstable,
2019,June,MC Upstream,3,3,1,0,8,1,0,0,2,0,2,7,0,0,0,0,100,0,16:22,24.6,16.09,10.34,8.29,25958,34.7,"GPS Mtrap4, hard bottom ~1ft of soft sed. on top",
2019,July,Smith Gut (Ref),1,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,10:08,21.6,18.77,6.09,8.23,28575,50,"1 piece of glitter, several large clumps of green algae nearby",July 19 2019
2019,July,Smith Gut (Ref),2,29,0,0,0,0,0,,,0,,,0,0,0,87,0,0,10:10,21.2,18.09,5.77,8.13,27494,51.8,sea lice present? hundreds of tiny darting inverts,
2019,July,Smith Gut (Ref),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,10:18,22.2,20.62,6.77,8.35,31298,56,tiny darting inverts,
2019,July,Merigomish,1,1,0,0,0,0,1,0,0,0,0,0,0,0,74,0,0,0,9:29,21,22.75,4.15,8.19,32431,14.6,"1 drowned ant, mosquito central, red colour to green algae",
2019,July,Merigomish,2,74,0,0,1,0,0,0,4,0,4,0,0,0,98,0,0,0,9:35,22.5,23.78,2.65,7.9,35385,14.7,"Red colour to green algae, thousands of tiny darting inverts (cream coloured)",
2019,July,Merigomish,3,62,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0,9:45,21.5,23.61,5.83,8.39,34803,23.4,Some ruppia nearby not in quadrat,
2019,July,MC Downstream,1,,,,,,,,,0,,,,,,,,,14:28,21.3,0.22,6.45,6.97,420.6,46,,July 25 2019
2019,July,MC Downstream,2,,,,,,,,,0,,,,,,,,,14:35,21.6,0.26,6.05,6.76,502,54.5,Frogs,
2019,July,MC Downstream,3,,,,,,,,,0,,,,,,,,,14:46,21.6,0.15,7.37,6.99,320.2,62.1,,
2019,July,MC Upstream,1,13,0,1,0,0,0,4,1,2,0,0,0,0,0,0,0,0,13:18,21.2,0.63,5.6,6.75,1275,55.4,"Cattails over head height, 100% dead cattail in veg quadrat",July 24 2019
2019,July,MC Upstream,2,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,29,0,13:31,20.9,0.04,6.28,7.05,78.4,42.5,,
2019,July,MC Upstream,3,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,20,0,14:08,21.1,0.09,6.3,7.01,171.5,42.2,just downstream / mud,
2019,July,MC Reference,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,15:18,24.6,0.06,5.88,7.02,128.8,35.5,Located at logger,
2019,July,MC Reference,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15:27,23,7.24,6.48,6.48,12193,44,"Bio film on water surface, 43% dead alt, lots of ruppia outside of quadrat, located near far end along straight part",
2019,July,MC Reference,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,77,0,0,15:51,22.6,3.16,6.4,6.57,5538,44.5,Located at far bend,
2019,Aug,MC Downstream,1,27,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,12:38,26,12.01,6.09,7.37,20199,37.8,1 mummichog was really big,Aug 6 2019
2019,Aug,MC Downstream,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,12:43,25.7,14.6,5.92,7.44,24718,49.8,Lots of juvenile fish nearby,
2019,Aug,MC Downstream,3,28,0,0,0,0,0,0,0,0,0,1,0,0,0,56,0,0,12:52,26.1,16.63,6.06,7.5,27633,53.8,1 dead chaoborus,
2019,Aug,MC Upstream,1,0,0,0,0,0,0,0,2,0,9,0,3,2,0,0,0,5,14:42,26,3.47,2.25,6.99,6590,33,1 dead chaoborus,
2019,Aug,MC Upstream,2,3,0,0,0,0,0,0,34,0,0,0,0,0,0,0,85,0,13:32,26.5,8.64,10.99,7.49,15998,24,,
2019,Aug,MC Upstream,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13:18,27.4,11.63,6.53,7.47,21946,31,chironomids/juvenile fish nearby,
2019,Aug,MC Reference,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,11:46,19.3,2.54,2.67,6.41,42011,11.3,IAT filled w/ rusty red algae,
2019,Aug,MC Reference,2,20,0,0,0,0,0,0,2,0,1,8,0,0,0,0,0,0,11:54,23.3,9.23,7.72,6.7,15287,17.9,"saw 4 juvenile fish nearby, IAT full of deceased waterboatmen",
2019,Aug,MC Reference,3,32,0,0,0,0,0,0,0,0,1,1,0,0,0,14,0,0,12:12,25.4,14.84,5.56,7.27,24633,27.7,"saw >1000 juvenile fish nearby, 3 dead chaoborus",
2019,Aug,Smith Gut (Ref),1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13:22,29.1,13.55,5.14,7.68,24283,7.5,,
2019,Aug,Smith Gut (Ref),2,29,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,13:24,27.7,13,8,7.84,22905,8.5,,
2019,Aug,Smith Gut (Ref),3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15:27,28.6,15.96,7.41,7.85,28139,13.3,,
2019,Aug,Merigomish,1,0,0,0,0,0,0,0,5,0,0,0,0,0,96,0,0,0,12:45,26.3,26.36,6.03,7.84,42247,14.9,,
2019,Aug,Merigomish,2,0,0,0,0,0,0,0,1,0,0,0,0,0,98,0,0,0,12:49,26,25.98,7.9,8.12,41506,20,some live ruppia among green algae est <5%,
2019,Aug,Merigomish,3,2,0,0,0,0,0,0,13,0,0,0,0,0,90,0,0,0,12:57,25.5,25.94,4.35,7.54,40929,14.6,,
