Reef_info,Lat_Long,Location,Year_Date,Depth_and_Org,Segment_counts,Errors?,What errors?
103.10.28.1E.10.50.46.1N | Koh Mano (Minor),"10.0,50.0,46.1,N | 103.0,10.0,28.1,E",Cambodia / Koh Kong / nan / Indian,2003:19-Feb-03,4.5-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
103.10.28.1E.10.50.46.1N | Koh Mano (Minor),"10.0,50.0,46.1,N | 103.0,10.0,28.1,E",Cambodia / Koh Kong / nan / Indian,2003:19-Feb-03,4.5-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
103.11.35.5E.10.49.32N | Koh Mano (south),"10.0,49.0,32.0,N | 103.0,11.0,35.5,E",Cambodia / Koh Kong / nan / Indian,2003:28-Feb-03,4.5-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
103.11.35.5E.10.49.32N | Koh Mano (south),"10.0,49.0,32.0,N | 103.0,11.0,35.5,E",Cambodia / Koh Kong / nan / Indian,2003:28-Feb-03,4.5-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
103.11.79.5E.10.48.2.7N | Koh Ta Team,"10.0,48.0,2.7,N | 103.0,11.0,47.7,E",Cambodia / Koh Kong / nan / Indian,2003:24-Feb-03,5.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
103.11.79.5E.10.48.2.7N | Koh Ta Team,"10.0,48.0,2.7,N | 103.0,11.0,47.7,E",Cambodia / Koh Kong / nan / Indian,2003:24-Feb-03,5.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
103.4.16.8E.11.3.36.2N | Koh Krosa Krao,"11.0,3.0,36.2,N | 103.0,4.0,16.8,E",Cambodia / Koh Kong / nan / Indian,2003:25-Feb-03,6.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
103.4.16.8E.11.3.36.2N | Koh Krosa Krao,"11.0,3.0,36.2,N | 103.0,4.0,16.8,E",Cambodia / Koh Kong / nan / Indian,2003:25-Feb-03,6.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
103.4.63.9E.11.3.58.3N | Koh Krosa Kandal,"11.0,3.0,58.3,N | 103.0,4.0,38.3,E",Cambodia / Koh Kong / nan / Indian,2003:27-Feb-03,3.2-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
103.4.63.9E.11.3.58.3N | Koh Krosa Kandal,"11.0,3.0,58.3,N | 103.0,4.0,38.3,E",Cambodia / Koh Kong / nan / Indian,2003:27-Feb-03,3.2-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
103.5.55.5E.10.53.48.5N | Koh Smach,"10.0,53.0,48.5,N | 103.0,5.0,55.5,E",Cambodia / Koh Kong / nan / Indian,2003:18-Feb-03,3.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
103.5.55.5E.10.53.48.5N | Koh Smach,"10.0,53.0,48.5,N | 103.0,5.0,55.5,E",Cambodia / Koh Kong / nan / Indian,2003:18-Feb-03,3.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
12.06.24.8S96.52.15.1E | 100th,"12.0,6.0,24.8,S | 96.0,52.0,15.1,E",Australia / Cocos (Keeling) Islands / nan / Indian,2003:23-Apr-03,3.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
12.06.24.8S96.52.15.1E | 100th,"12.0,6.0,24.8,S | 96.0,52.0,15.1,E",Australia / Cocos (Keeling) Islands / nan / Indian,2003:23-Apr-03,3.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
59.38.26W.13.13.40N | Lower Carlton,"13.0,13.0,40.0,N | 59.0,38.0,26.0,W",Barbados / nan / nan / Atlantic,2003:22-Feb-03,1.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=nan; S4=nan,True,only did half of transect
59.38.26W.13.13.40N | Lower Carlton,"13.0,13.0,40.0,N | 59.0,38.0,26.0,W",Barbados / nan / nan / Atlantic,2003:22-Feb-03,1.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=nan; S4=nan,True,only did half of transect
60.56.7.4W.13.43.13.8N | Maria Islands Nature Reserve,"13.0,43.0,13.8,N | 60.0,56.0,7.4,W",St Lucia / nan / Vieux Fort / Atlantic,2003:18-Mar-03,3.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
60.56.7.4W.13.43.13.8N | Maria Islands Nature Reserve,"13.0,43.0,13.8,N | 60.0,56.0,7.4,W",St Lucia / nan / Vieux Fort / Atlantic,2003:18-Mar-03,3.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
60.9555W.14.1015N | Le Sport Reef,"14.0,6.0,5.4,N | 60.0,57.0,19.8,W",St Lucia / nan / Gros-Islet / Atlantic,2003:20-Feb-03,3.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
60.9555W.14.1015N | Le Sport Reef,"14.0,6.0,5.4,N | 60.0,57.0,19.8,W",St Lucia / nan / Gros-Islet / Atlantic,2003:20-Feb-03,3.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
61.0035W.13.7540N | Kay Ken (Laborie),"13.0,45.0,14.4,N | 61.0,0.0,12.6,W",St Lucia / nan / Laborie / Atlantic,2003:11-Mar-03,2.0-Bleaching (% of colony),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
61.0035W.13.7540N | Kay Ken (Laborie),"13.0,45.0,14.4,N | 61.0,0.0,12.6,W",St Lucia / nan / Laborie / Atlantic,2003:11-Mar-03,2.0-Bleaching (% of population),S1=0.0; S2=0.0; S3=0.0; S4=0.0,False,
