ReefID_Name,Ocean,Country,State.Province.Island,City.Town,Year,Date,Depth,Organism.Code
103.10.28.1E.10.50.46.1N | Koh Mano (Minor),Indian,Cambodia,Koh Kong,,2003,19-Feb-03,4.5,Bleaching (% of population)
103.11.35.5E.10.49.32N | Koh Mano (south),Indian,Cambodia,Koh Kong,,2003,28-Feb-03,4.5,Bleaching (% of population)
103.11.79.5E.10.48.2.7N | Koh Ta Team,Indian,Cambodia,Koh Kong,,2003,24-Feb-03,5.0,Bleaching (% of population)
103.4.16.8E.11.3.36.2N | Koh Krosa Krao,Indian,Cambodia,Koh Kong,,2003,25-Feb-03,6.0,Bleaching (% of population)
103.4.63.9E.11.3.58.3N | Koh Krosa Kandal,Indian,Cambodia,Koh Kong,,2003,27-Feb-03,3.2,Bleaching (% of population)
103.5.55.5E.10.53.48.5N | Koh Smach,Indian,Cambodia,Koh Kong,,2003,18-Feb-03,3.0,Bleaching (% of population)
12.06.24.8S96.52.15.1E | 100th,Indian,Australia,Cocos (Keeling) Islands,,2003,23-Apr-03,3.0,Bleaching (% of population)
59.38.26W.13.13.40N | Lower Carlton,Atlantic,Barbados,,,2003,22-Feb-03,1.0,Bleaching (% of population)
60.56.7.4W.13.43.13.8N | Maria Islands Nature Reserve,Atlantic,St Lucia,,Vieux Fort,2003,18-Mar-03,3.0,Bleaching (% of population)
60.9555W.14.1015N | Le Sport Reef,Atlantic,St Lucia,,Gros-Islet,2003,20-Feb-03,3.0,Bleaching (% of population)
61.0035W.13.7540N | Kay Ken (Laborie),Atlantic,St Lucia,,Laborie,2003,11-Mar-03,2.0,Bleaching (% of population)
61.0055W.13.7515N | Flat Land (Laborie),Atlantic,St Lucia,,Laborie,2003,25-Mar-03,2.0,Bleaching (% of population)
61.0755W.13.8100N | Coral Gardens,Atlantic,St Lucia,,Soufriere,2003,27-Feb-03,3.0,Bleaching (% of population)
61.0755W.13.8100N | Coral Gardens,Atlantic,St Lucia,,Soufriere,2003,27-Feb-03,10.0,Bleaching (% of population)
61.08011W.13.8600N | Turtle Reef,Atlantic,St Lucia,Soufriere,,2003,13-Mar-03,10.0,Bleaching (% of population)
61.4.80W.13.51.84N | Anse Chastanet Reef,Atlantic,St Lucia,,Soufriere Marine Management Area,2003,5-Mar-03,3.0,Bleaching (% of population)
61.4.80W.13.51.84N | Anse Chastanet Reef,Atlantic,St Lucia,,Soufriere Marine Management Area,2003,5-Mar-03,10.0,Bleaching (% of population)
63.24.47E.19.40.06N | Passe Armand,Indian,Mauritius,Rodrigues,Pt. Monier,2003,7-Jun-03,12.0,Bleaching (% of population)
63.26.235E.19.39.662S | Patte Cappor,Indian,Mauritius,Rodrigues,Port Mathurin,2003,8-Jun-03,6.0,Bleaching (% of population)
"68.53.42W.12.05.16N | Curacao Sea Aquarium House Reef, Plot A #1",Atlantic,Netherlands Antilles,Curacao,Bapor Kibra,2003,23-Jan-03,4.0,Bleaching (% of population)
81.10.59E.8.44.2N | Coral Island,Indian,Sri Lanka,Eastern,Nilaveli,2003,25-Sep-03,2.5,Bleaching (% of population)
81.10.59E.8.44.2N | Coral Island,Indian,Sri Lanka,Eastern,Nilaveli,2003,25-Sep-03,3.0,Bleaching (% of population)
81.12.197E.8.43.238N | Pigeon Island,Indian,Sri Lanka,Eastern,Nilaveli,2003,25-Sep-03,3.5,Bleaching (% of population)
81.14.373E.8.34.404N | Dutch Bay,Indian,Sri Lanka,Eastern,Trincomalee,2003,28-Sep-03,3.0,Bleaching (% of population)
81.14.373E.8.34.404N | Dutch Bay,Indian,Sri Lanka,Eastern,Trincomalee,2003,28-Sep-03,3.5,Bleaching (% of population)
85.55.286W.16.28.725N | Wonderful Reef,Atlantic,Honduras,Bay Islands,Guanaja,2003,23-Apr-03,10.0,Bleaching (% of population)
96.53.502E.12.06.225S | Prison Gardens,Indian,Australia,Cocos (Keeling) Islands,,2003,20-May-03,10.0,Bleaching (% of population)
96.50.36E.12.05.41S | Cabbage Patch (10m),Indian,Australia,Cocos (Keeling) Islands,,1998,23-Aug-98,10.0,Bleaching (% of population)
059.38W.13.11N | Folkestone Marine Park,Atlantic,Barbados,St James,Holetown,2005,16-Jan-05,4.0,Bleaching (% of population)
100.20.32.4E.0.59.32.6S | Pisang Gadang Island,Pacific,Indonesia,Sumatra Barat,Padang,2005,25-Dec-05,3.0,Bleaching (% of population)
100.21.24.8E.0.7.56.3S | Sironjong Island,Pacific,Indonesia,Sumatra Barat,Padang,2005,25-Dec-05,3.0,Bleaching (% of population)
100.59.10.76E.12.57.45.55N | Leum Island (Ko Luam),Indian,Thailand,Cholburi,Pattaya,2003,1-Nov-03,3.9,Bleaching (% of population)
102.17.0E.11.56.43N | Hin Luk Bat,Pacific,Thailand,Trat,Koh Chang,2006,13-Nov-06,12.0,Bleaching (% of population)
102.17.15E.11.56.42N | Hin Luk Bat,Pacific,Thailand,"Koh Chang, Trat",Hin Luk Bat,2006,18-Mar-06,10.0,Bleaching (% of population)
102.22.711E.11.48.310N | Koh Tien/Koh Thain West,Pacific,Thailand,Trat,Koh Chang,2007,15-Jun-07,5.0,Bleaching (% of population)
102.22.711E.11.48.310N | Koh Tien/Koh Thain West,Pacific,Thailand,Trat,Koh Chang,2008,10-Jan-08,4.5,Bleaching (% of population)
102.23.0E.11.47.25N | Koh Mapring,Pacific,Thailand,Trat,Koh Chang,2006,28-Nov-06,4.0,Bleaching (% of population)
102.23.20E.11.47.50N | Koh Kra,Pacific,Thailand,Trat,Koh Chang,2006,14-Nov-06,3.6,Bleaching (% of population)
102.23.36E.11.47.2N | Koh Yak Lek,Pacific,Thailand,Trat,Koh Chang,2006,10-Nov-06,7.0,Bleaching (% of population)
102.23.784E.11.47.244N | Koh Yak,Pacific,Thailand,Trat,Koh Chang,2007,15-Jun-07,4.0,Bleaching (% of population)
102.24.173E.11.49.108N | Koh Thong Lang,Pacific,Thailand,Trat,Koh Chang,2007,14-Jun-07,3.5,Bleaching (% of population)
102.24.4E.11.49.13N | Koh Yak Yai,Pacific,Thailand,Trat,Koh Chang,2006,11-Dec-06,3.5,Bleaching (% of population)
102.24.9E.11.49.13N | Koh Thong Lang,Pacific,Thailand,Trat,Koh Chang,2006,10-Nov-06,4.0,Bleaching (% of population)
102.26.50E.11.49.23N | Koh Lom,Pacific,Thailand,Trat,Koh Chang,2006,27-Nov-06,4.3,Bleaching (% of population)
102.27.18.6E.11.53.3N | Ko Bai Dang,Pacific,Thailand,"Koh Chang, Trat",Ko Bai Dang,2006,19-Mar-06,3.0,Bleaching (% of population)
102.28.17E.11.54.4N | Hin Bai Dang,Pacific,Thailand,Trat,Koh Chang,2006,12-Nov-06,7.0,Bleaching (% of population)
102.32.40E.11.45.18N | Koh Kood,Pacific,Thailand,Trat,Koh Chang,2006,8-Dec-06,5.5,Bleaching (% of population)
102.40.2.9E.5.56.28.4N | Pulau Susu Dara Besar,Pacific,Malaysia,Terengganu,Perhentian Islands,2003,20-May-03,6.0,Bleaching (% of population)
102.40.2.9E.5.56.28.4N | Pulau Susu Dara Besar,Pacific,Malaysia,Terengganu,Perhentian Islands,2003,20-May-03,7.6,Bleaching (% of population)
102.42.508E.5.57.143N | Sea Bell,Pacific,Malaysia,Terengannu,Perhentian Island,2007,29-Sep-07,11.5,Bleaching (% of population)
102.42.508E.5.57.143N | Sea Bell,Pacific,Malaysia,Terengannu,Perhentian Island,2007,30-Sep-07,6.0,Bleaching (% of population)
102.42.508E.5.57.143N | Sea Bell,Pacific,Malaysia,Terengannu,Perhentian Island,2008,30-May-08,6.0,Bleaching (% of population)
102.42.508E.5.57.143N | Sea Bell,Pacific,Malaysia,Terengannu,Perhentian Island,2008,31-May-08,11.5,Bleaching (% of population)
